FANTASY TEAM,PLAYER,TEAM,POS
Train,Robbie Grossman,ATL,OF
Train,Sam Hentges,CLE,RP
Train,Steven Okert,MIA,RP
Train,Yimi Garcia,TOR,RP
Turd,Brendan Donovan,STL,2B 3B OF
Turd,Christopher Morel,CHC,2B OF
Turd,Daniel Lynch,KC,SP
Turd,Evan Phillips,LAD,RP
Turd,Garrett Whitlock,BOS,RP
Turd,Ian Happ,CHC,OF
Turd,Jared Walsh,LAA,1B
Turd,Joc Pederson,SF,OF
Turd,Jon Berti,MIA,2B 3B
Turd,Jose Barrero,CIN,SS
Turd,Jose Miranda,MIN,1B 3B
Turd,Josh Lowe,TB,OF
Turd,Juan Yepez,STL,OF
Turd,Ke'Bryan Hayes,PIT,3B
Turd,Keston Hiura,MIL,1B
Turd,Michael King,NYY,RP
Turd,Nathaniel Lowe,TEX,1B
Turd,Noah Syndergaard,PHI,SP
Turd,Scott Barlow,KC,RP
Turd,Tanner Houck,BOS,RP
Turd,Tarik Skubal,DET,SP
Turd,Trevor Story,BOS,2B
wOBA,Andre Pallante,STL,SP
wOBA,Aroldis Chapman,NYY,RP
wOBA,Avisail Garcia,MIA,OF
wOBA,Brayan Bello,BOS,SP
wOBA,Camilo Doval,SF,RP
wOBA,Chris Flexen,SEA,RP
wOBA,Devin Smeltzer,(N/A),RP
wOBA,Eduardo Escobar,NYM,3B
wOBA,Emilio Pagan,MIN,RP
wOBA,Emmanuel Rivera,ARI,3B
wOBA,Gary Sanchez,MIN,C
wOBA,Geraldo Perdomo,ARI,SS
wOBA,Gio Urshela,MIN,3B
wOBA,J.P. Feyereisen,TB,RP
wOBA,Jack Suwinski,PIT,OF
wOBA,Johnny Cueto,CHW,SP
wOBA,Mickey Moniak,LAA,OF
wOBA,Nelson Velazquez,CHC,OF
wOBA,Nick Pratto,KC,1B
wOBA,Paul Blackburn,OAK,SP
wOBA,Raisel Iglesias,ATL,RP
wOBA,Rhys Hoskins,PHI,1B
wOBA,Sam Huff,TEX,C
wOBA,Shea Langeliers,OAK,UT
wOBA,Taylor Walls,TB,2B 3B SS
wOBA,Whit Merrifield,TOR,2B OF
wOBA,Zack Thompson,STL,SP
