Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
192,9,Braylon Doughty,CLE,SP,2024,2027,19.3,169,-23,,*06kk6*,
193,9,Kohl Drake,TEX,SP,2022,2025,24.7,170,-23,,*066m0*,Y
194,9,Jurrangelo Cijntje,SEA,SP,2024,2026,21.8,171,-23,,*060m8*,
195,9,Josh Kasevich,TOR,SS,2022,2025,24.2,172,-23,,*060if*,Y
196,9,Jared Serna,MIA,SS,2019,2025,22.8,173,-23,UP,*062jx*,Y
197,9,Tyson Lewis,CIN,SS,2024,2027,19.2,197,0,,*06mnk*,
198,9,Theo Gillen,TB,OF,2024,2027,19.5,198,0,,*05u2m*,Y
199,9,Jack Perkins,ATH,SP,2022,2025,27.6,525,326,,*0657l*,
200,9,Didier Fuentes,ATL,SP,2022,2026,19.8,219,19,,*064zm*,Y
201,9,Richard Fitts,BOS,RP,2021,Debuted,25.3,235,34,,*05rav*,Y
202,9,David Sandlin,BOS,SP,2022,2025,24.1,177,-25,,*062pn*,Y
203,9,Noble Meyer,MIA,SP,2023,2026,20.2,178,-25,,*062yr*,
204,9,Ty Johnson,TB,SP,2023,2026,23.5,179,-25,,*06htl*,Y
205,9,K.C. Hunt,MIL,SP,2022,2025,24.7,180,-25,,*066b3*,
206,9,Nestor German,BAL,SP,2023,2026,23.1,181,-25,,*06gjv*,Y
207,9,Jairo Iriarte,CHW,SP,2018,Debuted,23.3,182,-25,,*060q2*,Y
208,9,Yoniel Curet,TB,SP,2019,2025,22.4,220,12,,*05uec*,Y
209,9,Payton Tolle,BOS,SP,2024,2026,22.4,406,197,,*06gwk*,Y
210,9,Juan Valera,BOS,SP,2023,2027,18.9,527,317,,*06mlb*,Y
211,9,Alex Clemmey,WSH,SP,2023,2026,19.7,298,87,,*06bfu*,Y
212,9,Andrew Morris,MIN,SP,2022,2025,23.6,207,-5,,*0648r*,Y
213,9,Hunter Barco,PIT,SP,2022,2025,24.3,208,-5,,*04nb5*,Y
214,9,Noah Cameron,KC,SP,2021,2025,25.7,209,-5,,*05ycf*,Y
215,9,Miguel Ullola,HOU,SP,2021,2025,22.8,341,126,,*061xq*,Y
216,9,Shane Smith,CHW,RP,2022,2025,25,563,347,,*06dqb*,Y
217,9,Hao-Yu Lee,DET,2B,2021,2025,22.2,241,24,UP,*05u2k*,Y
218,9,Luis Merejo,CLE,1B,2023,2027,18.8,185,-33,,*06awf*,
219,9,Carson DeMartini,PHI,3B,2024,2026,22.3,262,43,,*062ec*,Y
220,9,James Tibbs,SF,OF,2024,2025,22.5,187,-33,,*066ir*,
221,9,Yanquiel Fernandez,COL,OF,2019,2025,22.2,188,-33,DOWN,*05g3k*,
222,9,Luis Baez,HOU,OF,2022,2026,21.2,189,-33,,*060fy*,Y
223,9,River Ryan,LAD,SP,2021,Debuted,26.6,190,-33,,*05ynx*,
224,9,Brandon Winokur,MIN,"SS,OF",2023,2026,20.3,191,-33,,*06dnc*,Y
225,9,Justin Wrobleski,LAD,SP,2021,Debuted,24.7,192,-33,,*05y9r*,
226,9,Ethan Pecko,HOU,SP,2023,2025,22.6,401,175,,*06f14*,Y
227,9,Yorger Bautista,SEA,OF,2025,2029,17.5,195,-32,,*06ps3*,
228,9,Cris Rodriguez,DET,OF,2025,2029,17.2,196,-32,,*06ps4*,
229,9,Gino Groover,ARI,3B,2023,2025,23,199,-30,,*05yj5*,Y
230,9,Kellon Lindsey,LAD,SS,2024,2027,19.5,202,-28,,*06kxe*,
231,9,PJ Morlando,MIA,OF,2024,2027,19.9,203,-28,,*06328*,Y
232,9,Tommy Troy,ARI,SS,2023,2026,23.2,204,-28,,*05jse*,Y
233,9,Kendry Rojas,TOR,SP,2020,2025,22.3,223,-10,,*05rgq*,Y
234,9,Kash Mayfield,SD,SP,2024,2027,20.1,224,-10,,*06lp4*,
235,9,Owen Hall,DET,SP,2024,2027,19.4,382,147,,*06hey*,
236,9,Kale Fountain,SD,3B,2024,2027,19.6,289,53,,*06kka*,
237,9,Luke Dickerson,WSH,SS,2024,2027,19.6,290,53,,*06mne*,
238,9,Cade Cavalli,WSH,SP,2020,Debuted,26.6,205,-33,,*05gef*,
239,9,Yilber Diaz,ARI,SP,2021,Debuted,24.6,206,-33,,*06agh*,
240,9,Parker Messick,CLE,SP,2022,2025,24.4,256,16,,*05tzn*,
241,9,Jedixson Paez,BOS,SP,2021,2026,21.2,257,16,,*05xzr*,Y
242,9,Connelly Early,BOS,SP,2023,2025,23,612,370,,*06f1r*,Y
243,9,Edwin Arroyo,CIN,SS,2021,2026,21.6,210,-33,,*05rcj*,Y
244,9,Hunter Dobbins,BOS,SP,2021,2025,25.6,288,44,,*05y6w*,Y
245,9,Jose Corniell,TEX,SP,2019,2026,21.8,211,-34,,*05gx5*,
246,9,Eiberson Castellano,MIN,SP,2021,2025,23.9,212,-34,,*06l49*,
247,9,Boston Baro,NYM,"3B,SS",2023,2026,20.6,653,406,,*06fzm*,Y
248,9,Jhonny Severino,PIT,"3B,SS",2022,2027,20.4,184,-64,,*05yim*,Y
249,9,Gabriel Rincones Jr.,PHI,OF,2022,2025,24.1,268,19,UP,*0630f*,Y
250,9,Mike Boeve,MIL,"1B,3B",2023,2025,22.9,216,-34,,*06dnb*,
251,9,Mason Barnett,ATH,SP,2022,2025,24.4,217,-34,,*0630h*,Y
252,9,Felix Arronde,KC,SP,2021,2026,21.9,508,256,,*06g2a*,Y
253,9,Adam Mazur,MIA,SP,2022,Debuted,23.9,183,-70,,*060gg*,
254,9,Landen Maroudis,TOR,SP,2023,2027,20.3,335,81,,*06dq2*,
255,9,Jhostynxon Garcia,BOS,OF,2019,2026,22.3,221,-34,,*05j8u*,Y
256,9,Mikey Romero,BOS,SS,2022,2026,21.2,307,51,,*05y7y*,Y
257,9,Wyatt Sanford,PIT,SS,2024,2027,19.3,201,-56,,*06mnl*,Y
258,9,Devin Saltiban,PHI,2B,2023,2026,20.1,427,169,,*06ekm*,Y
259,9,Jhonny Level,SF,SS,2024,2028,18,254,-5,,*06ich*,
260,9,Marco Raya,MIN,SP,2020,2025,22.6,332,72,,*05mrp*,Y
261,9,Levi Sterling,PIT,SP,2024,2027,18.6,226,-35,,*06hf3*,Y
262,9,Jack Leiter,TEX,SP,2021,Debuted,24.9,227,-35,,*04y9o*,Y
263,10,Dorian Soto,BOS,SS,2025,2029,17.1,228,-35,,*06qhh*,
264,10,Jeremy Rodriguez,NYM,SS,2023,2027,18.7,229,-35,,*066o8*,
265,10,Dasan Hill,MIN,SP,2024,2027,19.3,397,132,,*06mnh*,
266,10,Brant Hurter,DET,SP,2021,Debuted,26.6,275,9,,*05u6p*,
267,10,Shay Whitcomb,HOU,3B,2020,Debuted,26.5,232,-35,,*05jqi*,Y
268,10,Yolfran Castillo,TEX,SS,2024,2028,18.1,233,-35,,*06icj*,
269,10,Drue Hackenberg,ATL,SP,2023,2025,23,234,-35,,*062e9*,Y
270,10,Cooper Kinney,TB,2B,2021,2026,21.3,322,52,,*05ua8*,Y
271,10,Aron Estrada,BAL,"2B,SS",2022,2026,20.2,443,172,,*0630n*,Y
272,10,Druw Jones,ARI,OF,2022,2026,21.3,237,-35,,*05tdk*,
273,10,Carson Whisenhunt,SF,SP,2022,2025,24.4,238,-35,,*05y7v*,Y
274,10,Edward Florentino,PIT,1B,2024,2028,18.4,502,228,,*06mh4*,Y
275,10,Jeter Martinez,SEA,SP,2023,2027,19.1,282,7,,*066m6*,
276,10,Tirso Ornelas,SD,OF,2016,2025,25.1,541,265,,*04aov*,
277,10,Tommy White,ATH,3B,2024,2025,22.1,243,-34,,*05tp7*,Y
278,10,Chen-Wei Lin,STL,SP,2023,2026,23.4,509,231,,*06cn1*,
279,10,Jace Jung,DET,3B,2022,Debuted,24.4,245,-34,UP,*05tzg*,Y
280,10,Joey Cantillo,CLE,SP,2017,Debuted,25.3,246,-34,,*04eos*,
281,10,Miguel Bleis,BOS,OF,2021,2026,21.1,214,-67,,*05m1c*,Y
282,10,Justin Gonzales,BOS,1B,2024,2028,18.2,503,221,,*06mff*,Y
283,10,Walker Janek,HOU,C,2024,2026,18.5,249,-34,,*06kkk*,Y
284,10,Joe Mack,MIA,C,2021,2026,22.3,386,102,,*05rcd*,Y
285,10,Roderick Arias,NYY,"2B,SS",2022,2026,20.6,218,-67,UP,*05gec*,Y
286,10,Malcolm Moore,TEX,C,2024,2026,21.7,252,-34,,*05y7u*,
287,10,Dominic Keegan,TB,C,2022,2026,23.7,253,-34,UP,*05tde*,Y
288,10,Bryce Cunningham,NYY,SP,2024,2026,22.3,456,168,,*06l3m*,Y
289,10,Bryan Ramos,CHW,3B,2018,Debuted,23,255,-34,UP,*059bs*,Y
290,10,Andrew Walters,CLE,RP,2023,Debuted,24.3,435,145,,*061a8*,
291,10,Craig Yoho,MIL,RP,2023,2025,25.4,436,145,,*06fzq*,
