Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Max Fried","NYY",11.689,8.7305,17.3165,3.37363,29.16,29.16,0,0,173.047,721.629,163.165,71.704,64.8661,17.3431,48.1788,,6.4658,164.846,8.57349,2.50574,3.42155,0.902,0.228436,0.0667639,0.1616719737648964,0.244631,1.22131,0.300791,0.746484,0.509199,,3.51149,3.28436,3.41899,106.43000030517578,,,,"13743"
"George Kirby","SEA",11.171,10.2989,17.4348,3.50624,30.78,30.78,0,0,180.232,735.343,169.082,76.2381,70.2154,23.0698,27.1908,,7.1696,170.736,8.5258,1.35779,6.27919,1.152,0.232186,0.036977,0.19520889967679977,0.241207,1.089,0.287892,0.732029,0.411601,,3.50779,3.26436,2.92767,41.13999938964844,,,,"25436"
"Aaron Nola","PHI",11.7665,10.1166,17.5129,3.84015,30.78,30.78,0,0,187.668,780.972,178.616,86.6426,80.0746,26.2318,44.877,,5.9385,185.217,8.88247,2.15217,4.12721,1.258,0.237162,0.057463,0.17969902977347374,0.244628,1.1909,0.293777,0.732728,0.428643,,3.82203,3.23002,3.24175,82.29000091552734,,,,"16149"
"Cristopher Sánchez","PHI",11.3796,8.8608,16.4325,3.48351,29.16,29.16,0,0,169.778,706.819,164.047,72.7226,65.7136,16.4684,47.6438,,5.7825,148.852,7.8907,2.52562,3.12426,0.873,0.210594,0.0674059,0.143188014626503,0.25107,1.24687,0.30237,0.736704,0.538346,,3.61804,3.19585,3.53516,170.2899932861328,,,,"20778"
"Hunter Brown","HOU",11.493,9.7574,16.2159,3.7033,30.78,30.78,0,0,176.84,742.09,161.051,79.5038,72.7658,19.3542,61.0043,,6.8525,184.914,9.41091,3.10472,3.03116,0.985,0.24918,0.0822061,0.16697407513856888,0.238865,1.25568,0.301505,0.731185,0.489321,,3.6491,3.18133,2.8467,101.5,,,,"25880"
"Shane McClanahan","TBR",10.4108,8.583,14.9765,3.32182,35.92,25.92,0,0.6725,161.051,658.805,138.516,64.8995,59.4422,17.9482,47.3453,,4.6439,180.165,10.0682,2.6458,3.80535,1.003,0.273473,0.0718654,0.2016076296567917,0.228266,1.15405,0.295,0.752559,0.448507,,3.34632,3.17554,3.1404,108.29000091552734,,,,"21483"
"Yoshinobu Yamamoto","LAD",11.0634,7.9313,14.8979,3.5946,27.54,27.54,0,0,158.592,655.341,144.921,68.9202,63.3418,18.9782,43.3678,,5.2873,166.811,9.4664,2.46109,3.84643,1.077,0.254541,0.0661759,0.18836484104394913,0.238874,1.18725,0.299226,0.738123,0.456308,,3.53888,3.09984,3.00349,53.709999084472656,,,,"33825"
"Gerrit Cole","NYY",11.5839,10.3814,17.3443,3.94836,30.78,30.78,0,0,188.884,791.302,173.249,88.9607,82.8646,28.3536,53.1027,,6.7403,197.366,9.40415,2.53026,3.71668,1.351,0.249419,0.067108,0.18231093883514404,0.236853,1.19836,0.286501,0.736062,0.379259,,3.97859,3.08394,2.62086,60.709999084472656,,,,"13125"
"Freddy Peralta","MIL",11.1843,10.149,16.2215,3.75533,30.78,30.78,0,0,177.958,743.97,150.458,79.7909,74.2544,23.9452,63.0061,,8.2715,204.862,10.3606,3.18646,3.25146,1.211,0.275363,0.084689,0.1906740814447403,0.223665,1.19952,0.285011,0.742873,0.371585,,3.81493,3.07261,3.14257,89.5,,,,"18679"
"Yusei Kikuchi","LAA",11.122,10.1042,15.9024,3.76083,30.78,30.78,0,0,176.11,728.93,157.174,79.3755,73.5909,24.4401,54.696,,6.029,195.966,10.0148,2.79521,3.58283,1.249,0.268841,0.075036,0.19380516558885574,0.235218,1.20306,0.296414,0.745801,0.420444,,3.77953,3.06507,3.15446,136.57000732421875,,,,"20633"
"Michael King","SDP",11.6503,9.752,16.6617,3.70026,30.78,30.78,0,0,179.519,754.917,158.733,80.0568,73.8076,21.8615,64.1883,,7.562,191.342,9.59272,3.21801,2.98095,1.096,0.253461,0.085027,0.1684340089559555,0.232348,1.24177,0.291238,0.742866,0.42192,,3.81692,3.06075,3.10956,62.86000061035156,,,,"19853"
"Shota Imanaga","CHC",11.4191,9.4151,17.5516,3.64008,29.16,29.16,0,0,179.749,740.014,166.404,78.2689,72.7002,25.8839,38.0589,,5.8158,182.214,9.12342,1.9056,4.78769,1.296,0.246231,0.05143,0.19480104744434357,0.239038,1.13749,0.287927,0.750148,0.368326,,3.74332,3.01067,3.29587,67.93000030517578,,,,"33829"
"Hunter Greene","CIN",10.6658,10.9134,15.2845,4.20788,30.78,30.78,0,0,181.619,772.52,158.845,90.299,84.9147,28.7968,66.3347,,12.3534,217.206,10.7634,3.28716,3.27439,1.427,0.281165,0.0858679,0.19529706239700317,0.228939,1.23985,0.290397,0.729621,0.339337,,4.1356,3.00714,2.86778,92.63999938964844,,,,"22182"
"Nathan Eovaldi","TEX",11.0624,9.5642,16.6121,3.74111,29.16,29.16,0,0,175.964,733.796,166.739,79.5624,73.1446,21.5654,46.7531,,6.8052,170.778,8.73473,2.39127,3.65276,1.103,0.232732,0.063714,0.16901795566082,0.245119,1.21327,0.297551,0.730657,0.455452,,3.73176,2.90604,2.80869,197.63999938964844,,,,"9132"
"Kevin Gausman","TOR",11.6168,11.0542,17.822,3.86326,32,32,0,0,193.238,811.582,181.329,89.4903,82.9475,25.1424,54.3111,,4.9709,193.342,9.00488,2.52953,3.55991,1.171,0.238229,0.06692,0.17130900919437408,0.241033,1.21943,0.292586,0.729142,0.392589,,3.77719,2.9057,2.7589,164.2100067138672,,,,"14107"
"Ranger Suárez","PHI",10.9652,9.0349,14.1641,3.60097,39.54,27.54,0,0.5828,167.063,702.447,159.357,73.5334,66.8432,17.4859,52.9824,,5.5922,151.045,8.1371,2.85426,2.85086,0.942,0.215027,0.0754255,0.13960184156894684,0.247498,1.27101,0.298462,0.738884,0.500751,,3.77074,2.83165,3.092,256.1400146484375,,,,"17277"
"Shohei Ohtani","LAD",9.9031,6.8154,13.2883,3.50634,24.3,24.3,0,0,139.363,575.405,117.813,58.7609,54.2949,17.1262,44.6997,,6.5884,162.76,10.511,2.88669,3.64119,1.106,0.282862,0.0776839,0.2051779106259346,0.224784,1.16611,0.292499,0.748916,0.414143,,3.53232,2.83121,2.77189,1.3600000143051147,,,,"19755"
"Justin Steele","CHC",11.1034,9.1557,16.206,3.55773,29.16,29.16,0,0,169.848,702.724,157.555,73.2532,67.1416,18.8532,47.5077,,6.5894,165.573,8.77345,2.51736,3.48518,0.999,0.235616,0.0676051,0.1680109053850174,0.242906,1.20733,0.298798,0.737734,0.456731,,3.61533,2.81278,3.18672,122,,,,"17312"
"Luis Castillo","SEA",11.0669,10.6532,17.6956,3.62577,30.78,30.78,0,0,184.327,767.07,166.02,80.5511,74.2586,23.6143,51.9736,,6.8768,187.066,9.13375,2.53768,3.59925,1.153,0.243871,0.067756,0.17611495405435562,0.23442,1.18265,0.286221,0.7432,0.410604,,3.76002,2.8078,2.60363,81.63999938964844,,,,"15689"
"Zac Gallen","ARI",11.5593,10.0467,16.3941,3.93934,30.78,30.78,0,0,182.85,777.095,176.661,86.6863,80.0345,21.231,56.4785,,7.2293,183.935,9.0534,2.7799,3.25673,1.045,0.236696,0.072679,0.16401701420545578,0.247637,1.27503,0.305832,0.719969,0.435481,,3.7093,2.78521,2.9044,119.86000061035156,,,,"19291"
"Zach Eflin","BAL",11.634,10.1337,17.0581,3.87621,30.78,30.78,0,0,185.62,770.209,188.434,86.704,79.9448,25.9456,32.3603,,6.2718,156.007,7.56418,1.56902,4.82095,1.258,0.202552,0.042015,0.16053694486618042,0.257572,1.18949,0.295635,0.726893,0.438439,,3.92703,2.77805,2.51328,172.7899932861328,,,,"13774"
"Carlos Rodón","NYY",11.2352,9.9704,15.3239,3.91986,30.78,30.78,0,0,175.865,736.144,153.408,81.6628,76.5961,26.536,54.1066,,7.7369,199.837,10.2268,2.76894,3.6934,1.358,0.271465,0.0735,0.19796492159366608,0.227506,1.17996,0.283242,0.738722,0.326269,,3.91037,2.77185,2.53693,120.70999908447266,,,,"16137"
"Tanner Houck","BOS",10.7654,10.4579,14.6235,3.96018,39.16,29.16,0,0.64,178.822,761.586,180.088,86.0055,78.6853,17.8226,54.6665,,10.8846,158.687,7.98662,2.75133,2.90282,0.897,0.208364,0.0717798,0.13658393174409866,0.258734,1.31278,0.312334,0.708994,0.519819,,3.78706,2.77121,2.93064,223.7899932861328,,,,"19879"
