Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID
93,5,James Triantos,CHC,"3B,SS",2021,2025,21.5,94,1,,*05ucf*
94,5,Thomas Harrington,PIT,P,2022,2025,23.1,107,13,,*05zya*
95,5,Franklin Arias,BOS,SS,2023,2027,18.7,223,128,,*06c78*
96,5,Travis Sykora,WSH,P,2023,2026,20.3,120,24,,*05ycl*
97,5,Jarlin Susana,WSH,P,2022,2025,20.4,139,42,,*05y7n*
98,5,Trey Yesavage,TOR,P,2024,2025,21,98,0,,*06apx*
99,5,Yophery Rodriguez,MIL,OF,2023,2026,18.7,180,81,,*066mq*
100,5,Chase Hampton,NYY,P,2022,2025,23,193,93,,*05yh3*
101,5,Cade Povich,BAL,P,2021,Debuted,24.3,100,-1,,*05xop*
102,5,Starlyn Caba,PHI,SS,2023,2027,18.7,153,51,,*066mx*
103,5,Blake Mitchell,KC,"C,3B",2023,2026,20,101,-2,UP,*05y3q*
104,5,Jhonkensy Noel,CLE,"3B,OF",2017,Debuted,23.1,103,-1,DOWN,*04yrs*
105,5,Angel Martinez,CLE,"SS,OF",2018,Debuted,22.5,104,-1,,*04ydd*
106,5,Aidan Smith,TB,OF,2023,2026,20,105,-1,,*06dq9*
107,5,Miguel Bleis,BOS,OF,2021,2026,20.4,106,-1,,*05m1c*
108,5,Christian Moore,LAA,2B,2024,2024,21.8,89,-19,,*06cq8*
109,5,Adael Amador,COL,"2B,SS",2019,Debuted,21.3,80,-29,,*04ysv*
110,5,Jefferson Rojas,CHC,SS,2022,2026,19.3,108,-2,,*061wh*
111,5,Ronny Mauricio,NYM,2B,2017,Debuted,23.4,109,-2,DOWN,*04fyo*
112,6,Yoeilin Cespedes,BOS,SS,2023,2027,18.9,110,-2,,*066mn*
113,6,Echedry Vargas,TEX,3B,2022,2027,19.4,212,99,,*061v7*
114,6,Robert Calaz,COL,OF,2023,2027,18.7,113,-1,,*066mo*
115,6,Zyhir Hope,LAD,OF,2023,2026,19.6,153,38,,*06eyu*
116,6,Zach Dezenzo,HOU,3B,2022,2025,24.2,192,76,,*0641c*
117,6,Luke Adams,MIL,3B,2022,2025,20.3,176,59,,*06582*
118,6,Angel Genao,CLE,SS,2021,2026,20.2,136,18,,*05r5e*
119,6,Juan Brito,CLE,"2B,SS",2018,2024,22.9,135,16,UP,*05yhe*
120,6,Gary Gill Hill,TB,P,2022,2026,19.9,134,14,,*064o6*
121,6,George Klassen,LAA,P,2023,2026,22.5,168,47,,*067xm*
122,6,Logan Henderson,MIL,P,2021,2025,22.4,132,10,,*05uo2*
123,6,Hayden Birdsong,SF,P,2022,Debuted,22.9,170,47,,*06650*
124,6,Colby Thomas,OAK,OF,2022,2024,23.5,164,40,UP,*0630e*
125,6,Ryan Waldschmidt,ARI,OF,2024,2026,21.8,117,-8,,*06dlz*
126,6,Carson Benge,NYM,OF,2024,2026,21.6,118,-8,,*06aly*
127,6,Joey Loperfido,TOR,OF,2021,Debuted,25.3,69,-58,,*05yfl*
128,6,Spencer Jones,NYY,"1B,OF",2022,2025,23.2,64,-64,,*04yi8*
129,6,Seaver King,WSH,2B,2024,2026,21.3,119,-10,,*06cq7*
130,6,Kevin Alcantara,CHC,OF,2018,2025,22.1,179,49,,*04qow*
131,6,Alejandro Rosario,TEX,P,2023,2026,22.6,202,71,,*05jri*
132,6,Luisangel Acuna,NYM,SS,2018,2024,22.4,121,-11,,*04z6k*
133,6,Drake Baldwin,ATL,C,2022,2025,23.4,163,30,,*0630d*
134,6,Michael Arroyo,SEA,SS,2022,2026,19.8,123,-11,,*05yid*
135,6,Brayden Taylor,TB,3B,2023,2025,22.2,124,-11,,*05wy1*
136,6,C.J. Kayfus,CLE,1B,2023,2025,22.8,125,-11,,*06dn6*
137,6,Eric Bitonti,MIL,SS,2023,2026,18.7,208,71,,*05yed*
138,6,Deyvison De Los Santos,MIA,3B,2019,2024,21.1,102,-36,DOWN,*05nsq*
139,6,Tommy Troy,ARI,SS,2023,2025,22.6,93,-46,,*05jse*
140,6,Jaden Hamm,DET,P,2023,2025,21.9,130,-10,,*06f0u*
141,6,Jairo Iriarte,CHW,P,2018,2025,22.7,126,-15,,*060q2*
142,6,Jake Bloss,TOR,P,2023,Debuted,23.1,172,30,,*06dqi*
143,6,Sal Stewart,CIN,3B,2022,2026,20.7,127,-16,UP,*05u9o*
144,6,George Lombard Jr.,NYY,SS,2023,2026,19.2,205,61,,*06b72*
145,6,Demetrio Crisantes,ARI,SS,2022,2026,19.9,195,50,,*064o4*
146,6,Yanquiel Fernandez,COL,OF,2019,2025,21.6,177,31,DOWN,*05g3k*
147,6,Robby Snelling,MIA,P,2022,2025,20.6,99,-48,,*061mh*
148,6,Edgar Quero,CHW,C,2021,2024,21.3,128,-20,,*05un2*
149,6,AJ Smith-Shawver,ATL,P,2021,Debuted,21.7,129,-20,,*05uy5*
150,6,Jonah Tong,NYM,P,2022,2026,21.1,136,-14,,*0658b*
151,6,Braxton Ashcraft,PIT,P,2018,2024,24.8,131,-20,,*04pmq*
152,6,Adam Mazur,MIA,P,2022,Debuted,23.3,95,-57,,*060gg*
153,6,Jurrangelo Cijntje,SEA,P,2024,2026,21.2,133,-20,,*060m8*
154,6,Santiago Suarez,TB,P,2022,2026,19.6,144,-10,,*0620x*
155,6,Kohl Drake,TEX,P,2022,2025,24.1,322,167,,*066m0*
156,6,Cole Carrigg,COL,OF,2023,2025,22.3,229,73,,*066eo*
157,6,Dillon Dingler,DET,C,2020,Debuted,25.9,387,230,UP,*05gx4*
158,6,Orelvis Martinez,TOR,SS,2018,Debuted,22.7,138,-20,,*04mms*
159,6,Cam Caminiti,ATL,P,2024,2026,18,97,-62,,*062e0*
160,6,Chayce McDermott,BAL,P,2021,Debuted,26,140,-20,,*05uws*
161,6,Logan Evans,SEA,P,2023,2024,23.2,141,-20,,*06hv8*
162,6,Justin Wrobleski,LAD,P,2021,Debuted,24.1,146,-16,,*05y9r*
163,6,Cade Cavalli,WSH,P,2020,Debuted,26,143,-20,,*05gef*
164,6,Termarr Johnson,PIT,2B,2022,2026,20.2,152,-12,UP,*05rc5*
165,6,David Sandlin,BOS,P,2022,2025,23.5,145,-20,,*062pn*
166,6,Cam Collier,CIN,3B,2022,2026,19.7,154,-12,,*05u1y*
167,6,Jackson Ferris,LAD,P,2022,2026,20.6,216,49,,*05u6g*
168,6,Jesus Made,MIL,SS,2024,2028,17.3,182,14,,*06ibv*
169,6,Thayron Liranzo,DET,C,2021,2026,21.1,160,-9,,*05r64*
170,6,Tyson Lewis,CIN,SS,2024,2027,18.6,148,-22,,*06mnk*
171,6,Wyatt Sanford,PIT,SS,2024,2027,18.7,149,-22,,*06mnl*
172,6,Theo Gillen,TB,SS,2024,2027,18.9,150,-22,,*05u2m*
173,6,Kellon Lindsey,LAD,OF,2024,2027,18.9,151,-22,,*06kxe*
174,6,PJ Morlando,MIA,1B,2024,2027,19.2,196,22,,*06328*
175,6,Connor Norby,MIA,2B,2021,Debuted,24.2,137,-38,,*05tce*
176,6,Denzel Clarke,OAK,OF,2021,2024,24.3,166,-10,UP,*05unf*
177,6,Ben Rice,NYY,"C,1B",2021,Debuted,25.5,198,21,,*05yo5*
178,6,Chase Davis,STL,OF,2023,2025,22.7,184,6,,*05jrf*
179,6,Brice Matthews,HOU,SS,2023,2024,22.4,155,-24,,*06c36*
180,6,Charles McAdoo,TOR,2B,2023,2025,22.4,156,-24,,*06f0z*
181,7,Nacho Alvarez,ATL,3B,2022,Debuted,21.3,158,-23,,*064da*
182,7,Thomas Saggese,STL,SS,2020,2025,22.3,159,-23,DOWN,*05mru*
183,7,Justin Foscue,TEX,"2B,OF",2020,Debuted,25.4,197,14,UP,*05gsg*
184,7,Justyn-Henry Malloy,DET,"3B,OF",2021,Debuted,24.5,201,17,UP,*05uy1*
185,7,Jhostynxon Garcia,BOS,OF,2019,2025,21.7,204,19,,*05j8u*
186,7,Jeferson Quero,MIL,C,2019,2025,21.8,199,13,,*05gss*
187,7,Vance Honeycutt,BAL,OF,2024,2026,21.2,165,-22,,*062e5*
188,7,Emiliano Teodo,TEX,P,2020,2025,23.5,215,27,,*05uo4*
189,7,Luis Pena,MIL,SS,2024,2028,17.7,167,-22,,*06j3f*
190,7,Ricky Tiedemann,TOR,P,2021,2026,22,142,-48,,*05js6*
191,7,Owen Murphy,ATL,P,2022,2026,20.9,161,-30,,*062pm*
192,7,Arjun Nimmala,TOR,SS,2023,2026,18.8,266,74,,*05y3p*
193,7,Ryan Sloan,SEA,P,2024,2027,18.5,172,-21,,*06ier*
194,7,Kash Mayfield,SD,P,2024,2027,19.5,173,-21,,*06lp4*
195,7,Braylon Doughty,CLE,P,2024,2027,18.7,174,-21,,*06kk6*
196,7,Levi Sterling,PIT,P,2024,2027,17.9,175,-21,,*06hf3*
197,7,Alex Freeland,LAD,SS,2022,2026,23,115,-82,,*05xu1*
198,7,Jeral Perez,CHW,SS,2022,2026,19.8,188,-10,,*061mj*
199,7,Bryan Ramos,CHW,3B,2018,Debuted,22.4,178,-21,UP,*059bs*
200,7,Eduardo Beltre,MIN,OF,2024,2027,17.8,453,253,,*06icc*
201,7,Hunter Barco,PIT,"1B,P",2022,2025,23.7,247,46,,*04nb5*
202,7,Shay Whitcomb,HOU,SS,2020,2024,25.9,181,-21,,*05jqi*
203,7,Jesus Baez,NYM,SS,2022,2026,19.4,211,8,,*061rf*
204,7,Tai Peete,SEA,SS,2023,2026,19,185,-19,,*06c7i*
205,7,Slade Caldwell,ARI,OF,2024,2027,18.1,196,-9,,*06agr*
206,7,Marco Luciano,SF,SS,2018,Debuted,22.9,187,-19,UP,*04ooy*
207,7,Josue Briceno,DET,C,2023,2026,19.9,189,-18,,*0637j*
208,7,Adrian Del Castillo,ARI,C,2021,2024,24.9,190,-18,,*05jn0*
209,7,Hao-Yu Lee,DET,2B,2021,2025,21.5,239,30,UP,*05u2k*
210,7,Addison Barger,TOR,"SS,OF",2018,Debuted,24.7,221,11,,*04qii*
211,7,Tommy White,OAK,3B,2024,2025,21.4,194,-17,,*05tp7*
212,7,Hector Rodriguez,CIN,2B,2021,2026,20.4,191,-21,,*05xse*
213,8,Luis Morales,OAK,P,2023,2026,21.9,231,18,,*0662m*
214,8,Jhonny Severino,PIT,SS,2022,2027,19.8,518,304,,*05yim*
215,8,Samuel Zavala,CHW,OF,2021,2026,20.1,203,-12,UP,*05rdr*
216,8,Justin Crawford,PHI,OF,2022,2026,20.6,217,1,,*05y30*
217,8,Yassel Soler,ARI,3B,2023,2027,18.5,379,162,,*06ciz*
218,8,Victor Scott,STL,OF,2022,Debuted,23.5,209,-9,,*0648z*
219,8,Zac Veen,COL,OF,2020,2025,22.7,210,-9,,*05gbg*
220,8,Jedixson Paez,BOS,P,2021,2026,20.6,303,83,,*05xzr*
221,8,Yilber Diaz,ARI,P,2021,Debuted,24,213,-8,,*06agh*
222,8,Javier Sanoja,MIA,3B,2021,2024,21.9,535,313,,*062ho*
223,8,Carson Whisenhunt,SF,P,2022,2024,23.8,169,-54,,*05y7v*
224,8,Jack Leiter,TEX,P,2021,Debuted,24.3,240,16,,*04y9o*
225,8,Walker Janek,HOU,C,2024,2026,17.9,218,-7,,*06kkk*
226,8,Tre' Morgan,TB,1B,2023,2025,22.1,277,51,,*05wrt*
227,8,Blade Tidwell,NYM,P,2022,2024,23.2,220,-7,,*05u2q*
228,8,Winston Santos,TEX,P,2019,2025,22.3,214,-14,,*061lj*
229,8,Ramon Ramirez,KC,C,2023,2027,19.2,259,30,,*06cn0*
230,8,Carter Jensen,KC,C,2021,2025,21.1,317,87,UP,*05vy5*
231,8,Yeremi Cabrera,TEX,OF,2022,2027,19.1,235,4,,*06c3v*
232,8,Brody Hopkins,SEA,P,2023,2026,22.6,381,149,,*06f1b*
233,8,Parker Messick,CLE,P,2022,2025,23.8,304,71,,*05tzn*
234,8,Colton Ledbetter,TB,OF,2023,2025,22.7,316,82,,*0689z*
235,8,Roderick Arias,NYY,SS,2022,2026,19.9,431,196,UP,*05gec*
236,8,Brailer Guerrero,TB,OF,2023,2027,18.1,200,-36,,*066mz*
237,8,K.C. Hunt,MIL,"SS,P",2022,2025,24.1,342,105,,*066b3*
238,8,Cooper Hjerpe,STL,P,2022,2024,23.4,230,-8,,*05yef*
239,8,Mike Boeve,MIL,3B,2023,2025,22.3,251,12,,*06dnb*
240,8,Mason Adams,CHW,P,2022,2025,24.5,232,-8,,*06657*
241,8,Robert Gasser,MIL,P,2021,Debuted,25.2,233,-8,,*05u6r*
242,8,Didier Fuentes,ATL,P,2022,2026,19.1,326,84,,*064zm*
243,8,Jeremy Rodriguez,NYM,SS,2023,2027,18.1,253,10,,*066o8*
244,8,Dakota Jordan,SF,OF,2024,2026,21.3,236,-8,,*067yf*
245,8,George Wolkow,CHW,3B,2023,2026,18.6,237,-8,,*05u2o*
246,8,Gabriel Gonzalez,MIN,OF,2021,2025,20.6,238,-8,,*05rcs*
247,8,Enrique Bradfield Jr.,BAL,OF,2023,2025,22.7,254,7,,*05jre*
248,9,Druw Jones,ARI,OF,2022,2026,20.7,264,16,,*05tdk*
249,9,Kale Fountain,SD,3B,2024,2027,19,241,-8,,*06kka*
250,9,Luke Dickerson,WSH,SS,2024,2027,19,242,-8,,*06mne*
251,9,JD Dix,ARI,SS,2024,2027,18.8,243,-8,,*066j0*
252,9,Carter Johnson,MIA,SS,2024,2027,18.5,244,-8,,*06icz*
253,9,Tjayy Walton,PHI,OF,2023,2027,19.5,413,160,,*05u9p*
254,9,Kumar Rocker,TEX,P,2022,2025,24.7,363,109,,*04azu*
255,9,Mitch Bratt,TEX,P,2021,2025,21.1,415,160,,*05xq2*
256,9,Brett Wichrowski,MIL,P,2023,2026,22,448,192,,*06huh*
257,9,Alex Clemmey,WSH,P,2023,2026,19.1,297,40,,*06bfu*
258,9,Jonathan Santucci,NYM,1B,2024,2026,21.6,248,-10,,*060ue*
259,9,Dylan Lesko,TB,P,2022,2026,20.9,293,34,,*05tdl*
260,9,Luis Perales,BOS,P,2019,2025,21.3,249,-11,,*05gd5*
261,9,Chase Petty,CIN,P,2021,2026,21.4,250,-11,,*05raz*
262,9,Joe Whitman,SF,P,2023,2025,22.9,292,30,,*06c1l*
263,9,Mac Horvath,TB,3B,2023,2025,22.5,222,-41,,*05yha*
264,9,Yolfran Castillo,TEX,SS,2024,2028,17.5,262,-2,,*06icj*
265,9,Doug Nikhazy,CLE,P,2021,2024,25,305,40,,*05taw*
266,9,Will Warren,NYY,P,2021,Debuted,25.2,328,62,,*05yaz*
267,9,Jared Serna,MIA,2B,2019,2025,22.2,286,19,UP,*062jx*
268,9,Cooper Kinney,TB,2B,2021,2026,20.7,438,170,,*05ua8*
269,9,Hyun-Seok Jang,LAD,P,2023,2026,20.4,256,-13,,*06f8f*
270,9,Grant Taylor,CHW,P,2023,2026,22.2,257,-13,,*066er*
271,9,Samuel Aldegheri,LAA,P,2019,2025,22.9,291,20,,*06aw2*
272,9,Jacob Bresnahan,SF,P,2023,2026,19.1,438,166,,*06ht3*
273,9,Caleb Bonemer,CHW,SS,2024,2027,18.8,258,-15,,*06hea*
274,9,Axiel Plaz,PIT,C,2022,2027,19,276,2,,*0622o*
275,9,Johnathan Rodriguez,CLE,OF,2016,Debuted,24.8,260,-15,,*04gdw*
276,9,Malcolm Moore,TEX,C,2024,2026,21,261,-15,,*05y7u*
277,9,J.R. Ritchie,ATL,P,2022,2026,21.1,294,17,,*05tzo*
278,9,Fernando Perez,TOR,P,2022,2026,20.5,298,20,,*06ek7*
279,9,Austin Peterson,CLE,P,2022,2025,24.9,290,11,,*061bn*
280,9,Cole Mathis,CHC,1B,2024,2026,21,351,71,,*06j3h*
281,9,Graham Pauley,MIA,3B,2022,Debuted,23.9,157,-124,,*066lr*
282,9,Gabriel Rincones Jr.,PHI,OF,2022,2026,23.4,267,-15,UP,*0630f*
283,9,Gabriel Rodriguez,CLE,SS,2024,2028,17.3,268,-15,,*06jgx*
284,9,Ricardo Cabrera,CIN,SS,2022,2026,19.8,246,-38,,*05rjo*
285,9,Austin Gauthier,LAD,SS,2021,2025,25.3,224,-61,UP,*0629a*
286,9,Edgardo Henriquez,LAD,RHP,2019,2024,22.1,576,290,,
287,9,Joey Oakie,CLE,P,2024,2027,18.3,269,-17,,*06hf0*
288,9,Brody Brecht,COL,P,2024,2026,21.9,270,-17,,*05ybz*
289,9,Drew Beam,KC,P,2024,2026,18.5,271,-17,,*060ig*
290,9,Gage Jump,OAK,P,2024,2026,21.3,272,-17,,*05t9g*
291,9,Luke Holman,CIN,P,2024,2026,21.6,273,-17,,*05yh6*
292,9,Ben Hess,NYY,P,2024,2026,21.9,274,-17,,*066iq*
293,9,Owen Wild,TB,P,2023,2025,22,346,54,,*06fqq*
294,9,Yoniel Curet,TB,P,2019,2025,21.8,353,60,,*05uec*
295,9,Elmer Rodriguez-Cruz,BOS,P,2021,2025,21,354,60,,*05xoo*
296,9,Jean Cabrera,PHI,P,2021,2025,22.8,463,168,,*05ww7*
297,9,Brandon Winokur,MIN,"SS,OF",2023,2026,19.6,234,-62,,*06dnc*
298,9,Griff O'Ferrall,BAL,SS,2024,2026,21.5,227,-70,,*062k7*
299,9,Kaelen Culpepper,MIN,3B,2024,2026,21.6,228,-70,,*06hx4*
300,9,Jonatan Clase,TOR,OF,2018,Debuted,22.2,207,-92,,*057zc*
301,9,Henry Bolte,OAK,OF,2022,2026,21,186,-114,UP,*05y7t*
302,9,Paulino Santana,TEX,OF,2024,2027,17.7,278,-23,,*06ho7*
303,9,Josh Knoth,MIL,P,2023,2026,19,279,-23,,*069zn*
304,9,Nelson Rada,LAA,OF,2022,2027,19,358,55,,*05yib*
305,9,Rayner Arias,SF,OF,2023,2026,18.3,281,-23,,*066mw*
306,9,Jadher Areinamo,MIL,SS,2021,2026,20.7,282,-23,,*062l0*
307,9,Edwin Arroyo,CIN,SS,2021,2025,21,283,-23,,*05rcj*
308,9,Luis Guanipa,ATL,OF,2023,2028,18.7,284,-23,,*066me*
309,9,Henry Lalane,NYY,P,2021,2026,20.2,306,-2,,*05ym5*
310,9,Jackson Baumeister,TB,P,2023,2025,22.1,341,32,,*05u9j*
311,9,Mikey Romero,BOS,SS,2022,2026,20.6,513,203,,*05y7y*
312,9,Logan Wagner,LAD,SS,2022,2025,20.4,289,-22,UP,*06497*
313,9,Alexander Canario,CHC,OF,2016,Debuted,24.3,321,9,,*04hi6*
314,9,Yasser Mercedes,MIN,OF,2022,2026,19.7,443,130,,*05ych*
315,9,Zander Mueth,PIT,"3B,RP",2023,2026,19.1,285,-29,,*05y3m*
316,9,Dasan Hill,MIN,P,2024,2027,18.6,295,-20,,*06mnh*
317,9,Owen Hall,DET,P,2024,2027,18.7,296,-20,,*06hey*
318,9,Jaxon Wiggins,CHC,P,2023,2025,22.9,391,74,,*05u2p*
319,9,Trey Sweeney,DET,SS,2021,2024,24.3,327,9,,*05tuw*
320,9,Andrew Morris,MIN,P,2022,2025,22.9,288,-31,,*0648r*
321,9,Juneiker Caceres,CLE,OF,2024,2028,17,299,-21,,*06mmx*
322,9,Joswa Lugo,LAA,SS,2024,2028,17.5,300,-21,,*06ica*
323,9,Caleb Lomavita,WSH,C,2024,2026,21.7,309,-13,,*06ibi*
324,9,Cayden Wallace,WSH,3B,2022,2024,23,485,162,,*05jq9*
325,9,Luis Merejo,CLE,3B,2023,2027,18.1,465,141,,*06awf*
326,9,Walker Martin,SF,SS,2023,2026,20.5,302,-23,,*066t4*
327,9,Ryan Gusto,HOU,P,2019,2024,25.4,607,281,,*0518s*
328,9,C.J. Culpepper,MIN,P,2022,2025,22.8,345,19,,*065j0*
329,9,Mavis Graves,PHI,P,2022,2026,20.7,395,68,,*06578*
330,9,Ian Seymour,TB,P,2020,2025,25.7,280,-48,,*05jpd*
331,9,Everson Pereira,NYY,OF,2017,Debuted,23.3,219,-110,,*04is5*
332,9,Jacob Gonzalez,CHW,3B,2023,2025,22.2,252,-78,,*05tzp*
333,9,Gavin Cross,KC,OF,2022,2025,23.5,329,-2,UP,*05tcd*
