Prospect,Rank,Team,Pos,Age,ETA,Signed,Level
Justyn-Henry Malloy,189,DET,3B,23,2023,2021,AAA
Michael Busch,190,LAD,2B,25,2023,2019,AAA
Wilmer Flores,191,DET,P,22,2023,2020,AA
Nick Gonzales,192,PIT,2B,23,2024,2020,AA
Matt McLain,193,CIN,SS,23,2024,2021,AA
Jhonkensy Noel,194,CLE,1B,21,2024,2017,AAA
Andy Pages,195,LAD,OF,22,2024,2018,AA
Deyvison De Los Santos,196,ARI,1B,19,2024,2019,AA
Yeison Morrobel,197,TEX,OF,19,2025,2021,Rookie
Jack Leiter,198,TEX,P,22,2024,2021,AA
Michael Arroyo,199,SEA,3B,18,2026,2022,Rookie
Enmanuel Bonilla,200,TOR,OF,17,2027,2023,Rookie
Sal Stewart,201,CIN,3B,19,2026,2022,Rookie
Carlos Jorge,202,CIN,2B,19,2026,2021,Rookie
Edgar Quero,203,LAA,C,19,2025,2021,A
Lenyn Sosa,204,CWS,2B,23,2022,2016,AAA
Eguy Rosario,205,SD,3B,23,2022,2015,Majors
Alexander Canario,206,CHC,OF,22,2023,2016,AAA
Mark Vientos,207,NYM,DH,23,2022,2017,Majors
Jose Rodriguez,208,MIN,OF,17,2027,2022,Rookie
Jonatan Clase,209,SEA,OF,20,2025,2018,A+
Grant McCray,210,SF,OF,22,2025,2019,A+
Blaze Alexander,211,ARI,SS,23,2023,2018,AAA
Mike Burrows,212,PIT,P,23,2023,2018,AAA
Cade Marlowe,213,SEA,OF,25,2023,2019,AAA
Brock Jones,214,TB,OF,21,2024,2022,Rookie
Jordan Beck,215,COL,OF,21,2024,2022,A
Justin Foscue,216,TEX,2B,24,2024,2020,AA
Niko Kavadas,217,BOS,1B,24,2024,2021,AA
Heston Kjerstad,218,BAL,OF,24,2024,2020,A+
Cristian Hernandez,219,CHC,SS,19,2026,2021,Rookie
Aeverson Arteaga,220,SF,SS,19,2025,2019,A
Thomas Saggese,221,TEX,2B,20,2024,2020,AA
Parker Meadows,222,DET,OF,23,2023,2018,AA
Jacob Melton,223,HOU,OF,22,2024,2022,A
Brandon Walter,224,BOS,P,26,2023,2019,AAA
Oswaldo Osorio,225,LAD,SS,17,2026,2022,Rookie
Keiner Delgado,226,NYY,2B,19,2026,2020,Rookie
Ryan Clifford,227,HOU,OF,19,2026,2022,A
Jose Gerardo,228,MIA,OF,17,2026,2022,Rookie
Justin Campbell,229,CLE,P,22,2024,2022,Rookie
Owen Murphy,230,ATL,P,19,2026,2022,Rookie
Cade Povich,231,BAL,P,22,2024,2021,AA
Noah Denoyer,232,BAL,P,25,2023,2019,AAA
Richard Fitts,233,NYY,P,23,2025,2021,A+
Jack Leftwich,234,CLE,P,24,2025,2021,A+
Ty Madden,235,DET,P,23,2024,2021,AA
Caleb Kilian,236,CHC,P,25,2022,2019,Majors
Reese Olson,237,DET,P,23,2023,2018,AAA
Bryan Woo,238,SEA,P,23,2025,2021,A+
Miguel Ullola,239,HOU,P,20,2025,2021,A
Matt Allan,240,NYM,P,21,2025,2019,A+
Bryan Mata,241,BOS,P,23,2023,2015,AAA
Anthony Solometo,242,PIT,P,20,2025,2021,Rookie
Gordon Graceffo,243,STL,P,22,2024,2021,AA
Nick Frasso,244,LAD,P,24,2024,2020,AA
Abner Uribe,245,MIL,P,22,2023,2018,AA
Andres Chaparro,246,NYY,3B,23,2024,2015,AA
Cole Wilcox,247,TB,P,23,2024,2020,A
Luis Gil,248,NYY,P,24,2021,2015,Majors
Gabriel Arias,249,CLE,3B,23,2022,2016,Majors
Brandon Mayea,250,NYY,OF,17,2027,2023,Rookie
Sebastian Walcott,251,TEX,SS,16,2027,2023,Rookie
Tyler Locklear,252,SEA,3B,22,2025,2022,A
Owen Caissie,253,CHC,OF,20,2024,2020,A+
Orelvis Martinez,254,TOR,3B,21,2024,2018,AA
Moises Gomez,255,STL,OF,24,2023,2015,Majors
Miguel Amaya,256,CHC,C,24,2023,2015,AA
Maikel Garcia,257,KC,SS,23,2022,2016,Majors
Luis Serna,258,NYY,P,18,2026,2021,Rookie
Noah Schultz,259,CWS,P,19,2026,2022,Rookie
Derniche Valdez,260,CHC,SS,16,2028,2023,Rookie
Joshua Baez,261,STL,OF,19,2026,2021,A
Roderick Arias,262,NYY,SS,18,2026,2022,Rookie
Danny Serretti,263,DET,SS,22,2024,2022,AA
Carson Whisenhunt,264,SF,P,22,2025,2022,A
Adam Mazur,265,SD,P,21,2024,2022,Rookie
Joendry Vargas,266,LAD,SS,17,2028,2023,Rookie
Luis Almeyda,267,BAL,SS,16,2028,2023,Rookie
Austin Martin,268,MIN,OF,23,2024,2020,AA
Jordan Groshans,269,MIA,3B,23,2022,2018,Majors
Jose Salas,270,MIN,SS,19,2024,2019,A+
Gabriel Martinez,271,TOR,OF,20,2025,2018,A+
Enmanuel Valdez,272,BOS,2B,24,2023,2015,Majors
Gleider Figuereo,273,TEX,SS,18,2026,2021,A
