Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
109,7,Robert Calaz,COL,OF,2023,2027,19.1,57,-52,,*066mo*,
110,7,Eric Bitonti,MIL,3B,2023,2026,19.2,109,-1,,*05yed*,
111,7,Santiago Suarez,TB,P,2022,2026,20,155,44,,*0620x*,Y
112,7,Carson Benge,NYM,OF,2024,2026,22,112,0,,*06aly*,
113,7,Slade Caldwell,ARI,OF,2024,2027,18.6,113,0,,*06agr*,
114,7,Justin Crawford,PHI,OF,2022,2026,21,114,0,,*05y30*,Y
115,7,Ramon Ramirez,KC,C,2023,2027,19.6,241,126,,*06cn0*,
116,7,Logan Henderson,MIL,P,2021,2025,22.9,128,12,,*05uo2*,Y
117,7,Gary Gill Hill,TB,P,2022,2026,20.3,108,-9,,*064o6*,Y
118,7,Griffin Burkholder,PHI,OF,2024,2027,19.4,117,-1,,*06mnj*,
119,7,Termarr Johnson,PIT,"2B,SS",2022,2026,20.6,118,-1,UP,*05rc5*,Y
120,7,Yoeilin Cespedes,BOS,SS,2023,2027,19.3,119,-1,,*066mn*,Y
121,7,Seaver King,WSH,SS,2024,2026,21.7,143,22,,*06cq7*,Y
122,7,Brice Matthews,HOU,"3B,SS",2023,2025,22.8,160,38,,*06c36*,Y
123,7,Adael Amador,COL,2B,2019,Debuted,21.8,121,-2,,*04ysv*,
124,7,Nick Yorke,PIT,2B,2020,Debuted,22.8,122,-2,,*05js7*,Y
125,7,Denzel Clarke,OAK,OF,2021,2025,24.7,123,-2,UP,*05unf*,Y
126,7,Spencer Jones,NYY,OF,2022,2025,23.7,142,16,,*04yi8*,Y
127,7,Luis Morales,OAK,P,2023,2026,22.3,158,31,,*0662m*,
128,7,Jackson Ferris,LAD,P,2022,2026,21,124,-4,,*05u6g*,
129,7,Grant Taylor,CHW,P,2023,2026,22.7,214,85,,*066er*,Y
130,7,Charlee Soto,MIN,P,2023,2026,19.4,335,205,,*05zq5*,Y
131,7,Brayden Taylor,TB,"3B,SS",2023,2025,22.6,111,-20,,*05wy1*,Y
132,7,Braylon Payne,MIL,OF,2024,2027,18.4,126,-6,,*06kkf*,
133,7,Josuar De Jesus Gonzalez,SF,SS,2025,2028,17.2,NR,NA,,*06ps2*,
134,7,Luisangel Acuna,NYM,SS,2018,Debuted,22.8,127,-7,,*04z6k*,Y
135,7,Owen Murphy,ATL,P,2022,2026,21.3,168,33,,*062pm*,Y
136,7,Noble Meyer,MIA,P,2023,2026,20,129,-7,,*062yr*,
137,7,Jake Bloss,TOR,P,2023,Debuted,23.6,130,-7,,*06dqi*,Y
138,7,Emiliano Teodo,TEX,P,2020,2025,23.9,215,77,,*05uo4*,Y
139,7,Trey Yesavage,TOR,P,2024,2025,21.5,144,5,,*06apx*,
140,7,Zach Dezenzo,HOU,3B,2022,Debuted,24.7,131,-9,,*0641c*,Y
141,7,George Lombard Jr.,NYY,SS,2023,2026,19.6,162,21,,*06b72*,Y
142,7,Alan Roden,TOR,OF,2022,2025,25.1,228,86,,*061yt*,
143,7,Brailer Guerrero,TB,OF,2023,2027,18.6,204,61,,*066mz*,Y
144,8,Robby Snelling,MIA,P,2022,2025,21.1,135,-9,,*061mh*,
145,8,Moises Chace,PHI,P,2019,2026,21.6,159,14,,*060vu*,Y
146,8,Starlyn Caba,MIA,SS,2023,2027,19.1,137,-9,,*066mx*,Y
147,8,Alejandro Osuna,TEX,OF,2020,2025,22.3,138,-9,UP,*05r3s*,Y
148,8,Cade Cavalli,WSH,P,2020,Debuted,26.4,187,39,,*05gef*,
149,8,Braxton Ashcraft,PIT,P,2018,2025,25.3,139,-10,,*04pmq*,Y
150,8,River Ryan,LAD,P,2021,Debuted,26.4,140,-10,,*05ynx*,
151,8,Deyvison De Los Santos,MIA,"1B,3B",2019,2025,21.6,141,-10,DOWN,*05nsq*,Y
152,8,Eduardo Beltre,MIN,OF,2024,2027,18.3,110,-42,,*06icc*,
153,8,Colby Thomas,OAK,OF,2022,2025,24,59,-94,UP,*0630e*,
154,8,C.J. Kayfus,CLE,"1B,OF",2023,2025,23.2,133,-21,,*06dn6*,
155,8,Juan Brito,CLE,"1B,2B,3B",2018,2025,23.3,134,-21,UP,*05yhe*,Y
156,8,Jackson Baumeister,TB,P,2023,2025,22.5,180,24,,*05u9j*,Y
157,8,Orelvis Martinez,TOR,SS,2018,Debuted,23.2,156,-1,,*04mms*,Y
158,8,Brady House,WSH,3B,2021,2025,21.6,97,-61,,*059bx*,Y
159,8,Jesus Baez,NYM,"3B,SS",2022,2026,19.9,147,-12,,*061rf*,
160,8,George Klassen,LAA,P,2023,2025,23,148,-12,,*067xm*,
161,8,Jaden Hamm,DET,P,2023,2025,22.4,149,-12,,*06f0u*,
162,8,Jairo Iriarte,CHW,P,2018,Debuted,23.1,150,-12,,*060q2*,Y
163,8,Thomas Saggese,STL,SS,2020,Debuted,22.8,152,-11,DOWN,*05mru*,Y
