Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kyle Wright","KCR",2,2,7,4.10377,35,13,0,1,,95,404,95,47,43,10,31,,4,81,7.66488,2.93004,2.61596,0.904999,0.199771,0.076366,0.12340454757213593,0.257903,1.32976,0.307206,0.699537,,,3.87877,1.13157,1.07256,617.1099853515625,,,,,,,394,4.147368421052631,406,4.273684210526316,,,,,,,,,,,,,,,,,,,"Kyle Wright","19665",657140
"Hayden Birdsong","SFG",3,3,10,3.88549,40,18,0,1,,116,503,100,55,50,13,58,,6,128,9.91587,4.48658,2.21012,0.975681,0.254089,0.114966,0.13912271708250046,0.227627,1.36064,0.292447,0.735487,,,4.0183,1.13107,1.41721,403.79998779296875,,,,,,,506.5000000000001,4.366379310344828,479,4.129310344827586,,,,,,,,,,,,,,,,,,,"Hayden Birdsong","31635",806185
"Chris Paddack","MIN",3,3,9,4.24079,55,16,0,1,,130,544,126,67,61,18,35,,5,116,7.99179,2.43772,3.27839,1.2779,0.212591,0.0648463,0.1477448269724846,0.250095,1.23739,0.290876,0.695872,,,4.17323,1.12691,0.854169,585.7100219726562,,,,,,,529,4.069230769230769,532,4.092307692307692,,,,,,,,,,,,,,,,,,,"Chris Paddack","20099",663978
"Jack Leiter","TEX",3,3,10,3.98851,42,18,0,1,,120,523,103,58,53,16,55,,6,126,9.47506,4.13593,2.29092,1.20615,0.241721,0.105513,0.1362081691622734,0.223902,1.32085,0.273417,0.738435,,,4.32887,1.12132,1.32382,525.3699951171875,,,,,,,496.40000000000003,4.136666666666667,465,3.875,,,,,,,,,,,,,,,,,,,"Jack Leiter","30146",683004
"Josh Hader","HOU",4,3,0,2.97932,68,0,33,2,,68,279,46,25,23,8,28,,3,94,12.3932,3.73523,3.31793,1.09794,0.33586,0.101226,0.2346341237425804,0.186922,1.09531,0.260838,0.793652,,,3.38016,1.11827,1.54345,41.88999938964844,,,,,,,553.2,8.13529411764706,504,7.411764705882353,,,,,,,,,,,,,,,,,,,"Josh Hader","14212",623352
"Tanner Scott","LAD",3,3,0,3.01811,66,0,21,9,,66,275,49,24,22,6,30,,3,80,10.9054,4.10628,2.6558,0.772726,0.291154,0.10963,0.181524358689785,0.203832,1.20189,0.279506,0.772515,,,3.37023,1.11251,1.60275,142.1699981689453,,,,,,,489.20000000000016,7.412121212121215,454,6.878787878787879,,,,,,,,,,,,,,,,,,,"Tanner Scott","17586",656945
"Bubba Chandler","PIT",6,6,8,4.18229,16,16,0,0,,93,408,87,47,43,10,44,,5,90,8.65786,4.21066,2.05618,0.982472,0.219609,0.106805,0.11280465126037598,0.243149,1.40716,0.297336,0.717201,,,4.2137,1.10867,1.23154,999,,,,,,,372.00000000000006,4.000000000000001,368,3.956989247311828,,,,,,,,,,,,,,,,,,,"Bubba Chandler","sa3017428",696149
"Steven Matz","STL",3,3,9,4.35208,42,18,0,1,,120,504,120,63,58,14,37,,5,98,7.32237,2.79674,2.61818,1.07038,0.193939,0.0740738,0.11986487358808517,0.259789,1.30873,0.302185,0.683377,,,4.14628,1.10261,0.781121,627.3699951171875,,,,,,,477.79999999999995,3.9816666666666665,492,4.1,,,,,,,,,,,,,,,,,,,"Steven Matz","13361",571927
"Kyle Freeland","COL",7,12,10,5.48272,28,28,0,0,,150,658,177,100,92,25,43,,7,105,6.25008,2.54782,2.45311,1.47594,0.158821,0.0647428,0.0940784215927124,0.290958,1.46034,0.317868,0.645925,,,4.88881,1.09396,0.564109,999,,,,,,,402.3,2.682,485,3.2333333333333334,,,,,,,,,,,,,,,,,,,"Kyle Freeland","16256",607536
"Ronel Blanco","HOU",9,10,13,4.40258,28,28,0,0,,157,677,142,84,77,23,68,,7,149,8.53876,3.87243,2.20501,1.3278,0.22064,0.100063,0.12057708203792572,0.236064,1.33253,0.276882,0.708931,,,4.62064,1.09331,1.13987,241.11000061035156,,,,,,,582.7,3.7114649681528666,559,3.5605095541401273,,,,,,,,,,,,,,,,,,,"Ronel Blanco","19407",669854
